time,screen,pupil,subject_id,stimulus_id,pixel
2363543,stimulus_Lit_NorthWind_7_page_1,1615.0,7,practice2,77.1
2363543,stimulus_Lit_NorthWind_7_page_1,1615.0,7,practice2,108.3
2363545,stimulus_Lit_NorthWind_7_page_1,1619.0,7,practice2,76.9
2363545,stimulus_Lit_NorthWind_7_page_1,1619.0,7,practice2,107.9
2363547,stimulus_Lit_NorthWind_7_page_1,1620.0,7,practice2,76.5
2363547,stimulus_Lit_NorthWind_7_page_1,1620.0,7,practice2,108.0
2363549,stimulus_Lit_NorthWind_7_page_1,1617.0,7,practice2,76.5
2363549,stimulus_Lit_NorthWind_7_page_1,1617.0,7,practice2,108.2
2363551,stimulus_Lit_NorthWind_7_page_1,1615.0,7,practice2,76.6
2363551,stimulus_Lit_NorthWind_7_page_1,1615.0,7,practice2,108.2
2363553,stimulus_Lit_NorthWind_7_page_1,1613.0,7,practice2,76.5
2363553,stimulus_Lit_NorthWind_7_page_1,1613.0,7,practice2,108.2
2363555,stimulus_Lit_NorthWind_7_page_1,1616.0,7,practice2,76.6
2363555,stimulus_Lit_NorthWind_7_page_1,1616.0,7,practice2,108.1
2363557,stimulus_Lit_NorthWind_7_page_1,1619.0,7,practice2,76.6
2363557,stimulus_Lit_NorthWind_7_page_1,1619.0,7,practice2,107.9
2363559,stimulus_Lit_NorthWind_7_page_1,1621.0,7,practice2,76.5
2363559,stimulus_Lit_NorthWind_7_page_1,1621.0,7,practice2,107.9
2363561,stimulus_Lit_NorthWind_7_page_1,1620.0,7,practice2,76.4
2363561,stimulus_Lit_NorthWind_7_page_1,1620.0,7,practice2,108.3
2363563,stimulus_Lit_NorthWind_7_page_1,1619.0,7,practice2,76.3
2363563,stimulus_Lit_NorthWind_7_page_1,1619.0,7,practice2,108.3
2363565,stimulus_Lit_NorthWind_7_page_1,1621.0,7,practice2,76.4
2363565,stimulus_Lit_NorthWind_7_page_1,1621.0,7,practice2,107.9
2363567,stimulus_Lit_NorthWind_7_page_1,1622.0,7,practice2,76.7
2363567,stimulus_Lit_NorthWind_7_page_1,1622.0,7,practice2,107.6
2363569,stimulus_Lit_NorthWind_7_page_1,1622.0,7,practice2,76.8
2363569,stimulus_Lit_NorthWind_7_page_1,1622.0,7,practice2,107.6
2363571,stimulus_Lit_NorthWind_7_page_1,1621.0,7,practice2,76.6
2363571,stimulus_Lit_NorthWind_7_page_1,1621.0,7,practice2,107.9
2363573,stimulus_Lit_NorthWind_7_page_1,1620.0,7,practice2,76.8
2363573,stimulus_Lit_NorthWind_7_page_1,1620.0,7,practice2,108.2
2363575,stimulus_Lit_NorthWind_7_page_1,1621.0,7,practice2,77.1
2363575,stimulus_Lit_NorthWind_7_page_1,1621.0,7,practice2,108.2
2363577,stimulus_Lit_NorthWind_7_page_1,1625.0,7,practice2,76.6
2363577,stimulus_Lit_NorthWind_7_page_1,1625.0,7,practice2,108.1
2363579,stimulus_Lit_NorthWind_7_page_1,1624.0,7,practice2,76.5
2363579,stimulus_Lit_NorthWind_7_page_1,1624.0,7,practice2,108.1
2363581,stimulus_Lit_NorthWind_7_page_1,1624.0,7,practice2,76.6
2363581,stimulus_Lit_NorthWind_7_page_1,1624.0,7,practice2,108.0
2363583,stimulus_Lit_NorthWind_7_page_1,1623.0,7,practice2,76.6
2363583,stimulus_Lit_NorthWind_7_page_1,1623.0,7,practice2,108.0
2363585,stimulus_Lit_NorthWind_7_page_1,1624.0,7,practice2,76.6
2363585,stimulus_Lit_NorthWind_7_page_1,1624.0,7,practice2,107.9
2363587,stimulus_Lit_NorthWind_7_page_1,1625.0,7,practice2,76.7
2363587,stimulus_Lit_NorthWind_7_page_1,1625.0,7,practice2,107.9
2363589,stimulus_Lit_NorthWind_7_page_1,1625.0,7,practice2,77.0
2363589,stimulus_Lit_NorthWind_7_page_1,1625.0,7,practice2,108.0
2363591,stimulus_Lit_NorthWind_7_page_1,1622.0,7,practice2,77.3
